Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОРСКАЯ ЖИЛИЩНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,5614014766,41.20 Строительство жилых и нежилых зданий,56 - Оренбургская область,,г Орск,,0,0,1036,11538,3780,0,-71,320189,0,0,-71,-6793
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОСНОВА""",Юридическое лицо,Малое предприятие,4401166441,41.20 Строительство жилых и нежилых зданий,44 - Костромская область,,г Кострома,,0,0,402,32928,0,0,15125,85132,0,0,15125,-17401
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПДПСТРОЙ""",Юридическое лицо,Малое предприятие,6449044283,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Энгельс,,0,0,51227,71727,0,0,3847,1120599,0,0,3847,-16653
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПРОЕКТНО-СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,8904067003,41.20 Строительство жилых и нежилых зданий,89 - Ямало-Ненецкий автономный округ,,г Новый Уренгой,,0,0,195257,946315,0,0,28802,1518717,0,0,28802,-722256
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПРОЕКТНО-СТРОИТЕЛЬНАЯ ФИРМА ""ЗОДЧИЙ""",Юридическое лицо,Малое предприятие,7224011820,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,Тюменский р-н,,с Онохино,0,0,15692,10789,0,0,137990,304808,0,4903,137990,142893
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПРОМСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,3907022185,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,0,0,2877,3810,0,0,54607,86229,0,0,54607,53674
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПРОФЕССИОНАЛ""",Юридическое лицо,Малое предприятие,2827009532,41.20 Строительство жилых и нежилых зданий,28 - Амурская область,,г Благовещенск,,1812,10898,20108,104949,39042,265218,-838,518994,0,0,-9924,-320941
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РАДЧЕНКО""",Юридическое лицо,Малое предприятие,7536056600,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,,г Чита,,0,0,97524,62915,0,0,140688,230367,0,34609,140688,175297
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РАН-КАЗАНЬ""",Юридическое лицо,Малое предприятие,1655152239,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,2132,2884,0,0,71914,158150,0,0,71914,71162
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РЕАЛ ЭСТЕЙТ СИТИ""",Юридическое лицо,Малое предприятие,1650226416,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Набережные Челны,,160,201,33559,66929,0,0,42912,324238,0,0,42871,9501
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РЕГИОНСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,3257013624,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,0,0,3872,5726,0,0,-778,349278,0,0,-778,-2632
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РИВЬЕРА-ИНВЕСТ-ЕКБ""",Юридическое лицо,Малое предприятие,6670433184,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,219,336,1241,2104,169952,0,14674,410005,0,168972,14557,183646
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""САЛЬВИЯ""",Юридическое лицо,Малое предприятие,277065054,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,0,0,0,0,0,0,-3439,5136,0,0,-3439,-3439
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""САРИНВЕСТСТРОЙ""",Юридическое лицо,Малое предприятие,6454010427,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,0,0,0,0,0,0,1618,2383,0,0,1618,1618
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СЕВЕРСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,8904043595,41.20 Строительство жилых и нежилых зданий,89 - Ямало-Ненецкий автономный округ,,г Новый Уренгой,,0,3181,78253,87932,0,0,36266,789237,0,0,33085,23406
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СЕВЕРТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,8602273031,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,г Сургут,,0,0,340320,779393,0,0,-50364,277055,0,0,-50364,-489437
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СМ-ФИНАНС""",Юридическое лицо,Малое предприятие,5260208112,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,0,0,611016,271124,0,0,82,3833,0,339892,82,339974
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СМАРТ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,7709976613,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,10315,8510,0,0,-8744,52376,0,1805,-8744,-6939
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СМТ-1""",Юридическое лицо,Малое предприятие,4345059130,41.20 Строительство жилых и нежилых зданий,43 - Кировская область,,г Киров,,0,0,0,0,0,0,-1203,4348,0,0,-1203,-1203
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СМУ-1""",Юридическое лицо,Малое предприятие,6730061712,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,,г Смоленск,,0,0,16209,11837,16553,12155,-805,79163,0,8770,-805,7965
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СОЛКОМ СТРОЙ""",Юридическое лицо,Малое предприятие,7328101524,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,,г Ульяновск,,0,3853,31091,39206,31635,45200,-22,76734,0,0,-3875,-25555
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СОЛКОМ""",Юридическое лицо,Малое предприятие,7327050919,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,,г Ульяновск,,0,4329,52843,47553,63893,61427,-4,58796,0,3427,-4333,3423
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТК-59+""",Юридическое лицо,Малое предприятие,1515920378,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,,г Владикавказ,,0,0,14712,14637,0,0,53021,492988,0,75,53021,53096
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬ""",Юридическое лицо,Малое предприятие,3662082794,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,0,0,2416,2936,0,0,25641,54299,0,0,25641,25121
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ ГРУППА ЛЮБИМЫЙ ДОМ""",Юридическое лицо,Малое предприятие,2311165665,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,12085,3000,0,0,-22173,598831,0,9085,-22173,-13088
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ВЫСОТНИК""",Юридическое лицо,Малое предприятие,7453003764,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,0,0,4999,3664,0,0,6513,153627,0,1335,6513,7848
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА""",Юридическое лицо,Малое предприятие,6452934991,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,0,0,58658,27266,0,0,123894,2601197,0,31392,123894,155286
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СОЗИДАНИЕ""",Юридическое лицо,Малое предприятие,2224183393,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,,г Барнаул,,0,0,150512,102153,0,0,109735,739346,0,48359,109735,158094
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""УНИСТРОЙДОМ""",Юридическое лицо,Среднее предприятие,1659143147,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,374,352,0,0,-356485,1991094,0,22,-356485,-356463
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ЭНЕРГОЖИЛСТРОЙ""",Юридическое лицо,Малое предприятие,7536076903,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,,г Чита,,5970,0,49371,35050,0,0,8181,125115,5970,20291,14151,28472
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ ""ЗАПАДНОЕ""",Юридическое лицо,Малое предприятие,5404482221,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,0,0,30673,6091,0,0,28625,23456,0,24582,28625,53207
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ 19""",Юридическое лицо,Малое предприятие,2318022602,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Сочи,,0,0,183331,187066,0,0,260628,238517,0,0,260628,256893
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОИТЭК""",Юридическое лицо,Малое предприятие,278147542,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,0,0,17542,68,0,0,44764,451173,0,17474,44764,62238
